City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,vilyuchinsk,52.9306,158.4028,2.15,75,14,11.8,RU,2024-11-11 22:21:56
113,faranah,10.0404,-10.7434,19.54,65,8,0.94,GN,2024-11-11 22:21:57
114,harstad,68.799,16.5293,5.64,97,100,6.71,NO,2024-11-11 22:21:58
115,knysna,-34.0363,23.0471,19.75,63,1,1.34,ZA,2024-11-11 22:21:59
116,vadso,70.0744,29.7487,1.09,93,75,4.63,NO,2024-11-11 22:22:00
117,talnakh,69.4865,88.3972,-27.89,91,52,0.68,RU,2024-11-11 22:22:02
118,isla soyaltepec,18.2117,-96.4839,24.59,88,97,0.28,MX,2024-11-11 22:22:03
119,sinop,41.7711,34.8709,6.95,90,14,0.87,TR,2024-11-11 22:22:04
120,feltre,46.0235,11.907,8.1,95,96,1.7,IT,2024-11-11 22:22:05
121,port mathurin,-19.6833,63.4167,24.37,81,52,8.84,MU,2024-11-11 22:22:06
122,saldanha,-33.0117,17.9442,16.22,88,22,8.03,ZA,2024-11-11 22:22:07
123,oriximina,-1.7656,-55.8661,26.74,67,100,1.23,BR,2024-11-11 22:22:08
124,pampa,35.5362,-100.9599,12.02,71,0,5.14,US,2024-11-11 22:22:10
125,longyearbyen,78.2186,15.6401,3.91,81,75,4.12,SJ,2024-11-11 22:22:11
126,wailua homesteads,22.0669,-159.378,24.44,90,100,6.69,US,2024-11-11 22:22:12
127,tezu,27.9167,96.1667,27.69,32,1,1.22,IN,2024-11-11 22:22:13
128,al bawiti,28.3492,28.8659,14.45,78,75,2.02,EG,2024-11-11 22:22:14
129,beihai,21.4833,109.1,25.87,68,11,2.46,CN,2024-11-11 22:22:17
130,boa vista,2.8197,-60.6733,27.99,69,40,5.14,BR,2024-11-11 22:22:18
131,vegreville,53.5001,-112.0518,3.07,89,100,3.54,CA,2024-11-11 22:22:19
132,modimolle,-24.7,28.4,18.03,76,69,3.14,ZA,2024-11-11 22:22:20
133,minot air force base,48.4209,-101.3391,1.1,80,0,8.23,US,2024-11-11 22:22:21
134,rikaze,29.25,88.8833,8.27,25,0,1.38,CN,2024-11-11 22:22:22
135,mejit,10.2753,170.8646,28.03,78,98,6.19,MH,2024-11-11 22:22:24
136,punta arenas,-53.15,-70.9167,9.06,76,40,12.86,CL,2024-11-11 22:22:25
137,mili,6.0815,171.735,28.21,76,100,4.01,MH,2024-11-11 22:22:26
138,gufeng,26.9083,118.9819,22.15,63,47,2.35,CN,2024-11-11 22:22:27
139,sheridan,44.8333,-106.9173,10.1,39,12,1.66,US,2024-11-11 22:22:28
140,san pedro pochutla,15.7333,-96.4667,24.28,85,100,1.81,MX,2024-11-11 22:22:29
141,nova sintra,14.8667,-24.7167,27.08,66,64,6.16,CV,2024-11-11 22:22:30
142,afaahiti,-17.75,-149.2833,23.56,80,99,7.95,PF,2024-11-11 22:22:32
143,callaway,30.153,-85.5699,22.76,96,99,1.34,US,2024-11-11 22:22:33
144,veraval,20.9,70.3667,30.39,39,1,3.27,IN,2024-11-11 22:22:34
145,happy valley-goose bay,53.3168,-60.3315,-0.83,100,100,3.6,CA,2024-11-11 22:22:35
146,brandon,27.9378,-82.2859,23.39,94,0,1.54,US,2024-11-11 22:22:36
147,cobija,-11.0267,-68.7692,24.33,86,63,1.0,BO,2024-11-11 22:22:37
148,ak'ordat,15.5486,37.8867,25.66,55,4,3.86,ER,2024-11-11 22:22:39
149,rio verde de mato grosso,-18.9181,-54.8442,25.39,65,19,1.25,BR,2024-11-11 22:22:40
150,tura,25.5198,90.2201,26.86,52,1,0.76,IN,2024-11-11 22:22:42
151,gao,16.6362,1.637,19.78,20,0,4.36,ML,2024-11-11 22:22:43
152,kete krachi,7.7939,-0.0498,25.8,76,59,0.19,GH,2024-11-11 22:22:44
153,humaita,-7.5061,-63.0208,24.07,88,39,1.03,BR,2024-11-11 22:22:46
154,adre,13.4667,22.2,20.46,30,0,7.14,TD,2024-11-11 22:22:47
155,palikir - national government center,6.9248,158.1611,30.41,74,100,1.54,FM,2024-11-11 22:22:48
156,kiunga,-6.1219,141.2906,30.58,66,100,1.16,PG,2024-11-11 22:22:49
157,aleksandrov gay,50.147,48.5704,-1.11,53,0,1.56,RU,2024-11-11 22:22:50
158,hithadhoo,-0.6,73.0833,28.17,76,100,7.27,MV,2024-11-11 22:22:53
159,broken hill,-31.95,141.4333,30.75,25,11,6.87,AU,2024-11-11 22:20:35
160,dickinson,29.4608,-95.0513,21.66,87,0,0.0,US,2024-11-11 22:22:55
161,ancud,-41.8697,-73.8203,9.97,89,100,3.98,CL,2024-11-11 22:22:56
162,kone,-21.0595,164.8658,28.35,52,31,1.3,NC,2024-11-11 22:22:57
